locality,price
Huizingen,327500.0
Huldenberg,541500.0
Hulshout,414414.8
Hulste,492000.0
Humbeek,906333.3333333334
Huy,259216.5
Hyon,243000.0
Hélécine,224333.33333333334
Hérinnes,239000.0
Héron,435000.0
Hévillers,507000.0
Ichtegem,367062.5
Iddergem,516000.0
Idegem,615666.6666666666
Ieper,326255.0
Incourt,487796.4
Ingelmunster,369232.85714285716
Irchonwelz,360000.0
Itegem,664009.3846153846
Itterbeek,625500.0
Ittre,569538.125
Ivoz-Ramet,239000.0
Izegem,263562.5
Izel,235000.0
Izier,299000.0
Jabbeke,404763.0
Jalhay,490583.3333333333
Jamagne,260000.0
Jambes,353531.25
Jandrain-Jandrenouille,640000.0
Jauche,349000.0
Jemappes,182142.85714285713
Jemelle,99000.0
Jemeppe,204161.11111111112
Jemeppe-Sur-Sambre,359755.25
Jette,295313.9534883721
Jodoigne,379918.56
Jumet,187572.3725490196
Jupille,223090.9090909091
Juprelle,392000.0
Jurbise,165666.66666666666
Kain,483454.54545454547
Kalken,652000.0
Kalmthout,516520.71428571426
Kampenhout,466187.6
Kapelle-op-den-Bos,325750.0
Kapellen,623008.5454545454
Kasterlee,553127.6666666666
Kaulille,474747.0
Keerbergen,812290.875
Kemzeke,448750.0
Kerkhove,399000.0
Kerksken,449000.0
Kermt,540000.0
Kessel,449251.5
Kessel-Lo,471500.0
Kieldrecht,245000.0
Kinrooi,258593.7857142857
Kluisbergen,242000.0
Knokke,1032000.0
Knokke-Heist,891866.6666666666
Kobbegem,199000.0
Koekelare,229917.33333333334
Koekelberg,287711.1111111111
Koersel,427739.1304347826
Koksijde,389991.35
Koningshooikt,579750.0
Kontich,401250.0
Kortemark,385487.5
Kortenberg,517937.5
Kortessem,279666.6666666667
Kortijs,298000.0
Kortrijk,414598.9428571428
Kraainem,1120283.8709677418
Kruibeke,667750.0
Kruishoutem,574707.0
Kuringen,299650.0
Kuurne,359000.0
La Bouverie,165000.0
La Bruyère,375000.0
La Glanerie,400000.0
La Gleize,490000.0
La Hestre,209076.76923076922
La Hulpe,651272.7272727273
La Louvière,223433.1224489796
La Reid,235000.0
La Roche-en-Ardenne,354000.0
Laakdal,359067.85714285716
Laarne,343200.0
Labuissière,391817.6666666667
Lacuisine,459000.0
Ladeuze,295000.0
Laken,361231.4931506849
Lamain,729000.0
Lambermont,251100.0
Lambusart,267500.0
Lamine,225000.0
Lamorteau,150000.0
Lanaken,506750.0
Lanaye,241500.0
Landen,250000.0
Laneffe,193500.0
Langdorp,295000.0
Langemark,342000.0
Langemark-Poelkapelle,361445.0
Laplaigne,233400.0
Lasne,776667.088888889
Latinne,449000.0
Lauwe,295583.3333333333
Lavaux-Sainte-Anne,895000.0
Lavoir,250000.0
Le Mesnil,120000.0
Le Roeulx,383111.1111111111
Le Roux,339000.0
Lebbeke,514666.6666666667
Lede,440734.59523809527
Ledeberg,331000.0
Ledegem,321333.3333333333
Leefdaal,482000.0
Leernes,354175.6666666667
Leers-Nord,310000.0
Leers-et-Fosteau,349999.0
Leest,565000.0
Leeuwergem,372448.0
Lembeek,278599.6
Lembeke,607000.0
Lendelede,439666.6666666667
Lennik,474000.0
Lens,448820.0
Lens-Saint-Remy,465000.0
Leopoldsburg,355842.1052631579
Les Bons Villers,395112.55555555556
Les Bulles,229000.0
Les Hayons,325000.0
Lesdain,180000.0
Lessines,435368.6
Lessive,750000.0
Lesterny,290000.0
Leupegem,348750.0
Leuven,475306.4516129032
Leuze-en-Hainaut,191997.0
Leval-Chaudeville,175000.0
Leval-Trahegnies,189666.33333333334
Libin,309000.0
Libramont-Chevigny,302400.0
Lichtaart,464250.0
Lichtervelde,389000.0
Liedekerke,431491.86666666664
Liege,270888.39184952975
Lier,322205.328125
Lierde,579277.7777777778
Lierneux,306000.0
Liers,295000.0
Lievegem,356316.6666666667
Ligne,365000.0
Ligny,240000.0
Lille,452350.0
Lillois-Witterzée,689000.0
Limal,365000.0
Limbourg,341800.0
Limelette,598333.3333333334
Lincent,339377.6666666667
Linden,1395000.0
Linkebeek,704500.0
Lint,416961.0
Lippelo,280000.0
Lissewege,596900.0
Lixhe,460000.0
Lo-Reninge,139000.0
Lobbes,342653.3333333333
Lochristi,530135.45
Lodelinsart,201249.83333333334
