region,code,municipality
Walloon Region,5521,Onhaye
Flemish Region,1502,Hal
Walloon Region,5573,Beauraing
Flemish Region,1770,Liedekerke
Flemish Region,1850,Grimbergen
Flemish Region,2150,Anvers
Walloon Region,6832,Bouillon
Flemish Region,2290,Vorselaar
Walloon Region,6850,Paliseul
Flemish Region,9570,Lierde
Flemish Region,9968,Assenede
Walloon Region,1435,Mont-Saint-Guibert
Walloon Region,1470,Genappe
Flemish Region,1651,Beersel
Flemish Region,1820,Steenokkerzeel
Flemish Region,1851,Grimbergen
Flemish Region,1970,Wezembeek-Oppem
Flemish Region,2200,Herentals
Flemish Region,2321,Hoogstraten
Flemish Region,2640,Mortsel
Flemish Region,2840,Rumst
Flemish Region,3118,Rotselaar
Flemish Region,3120,Tremelo
Flemish Region,3560,Lummen
Flemish Region,3690,Zutendaal
Flemish Region,3832,Wellen
Walloon Region,4180,Hamoir
Walloon Region,4252,Geer
Walloon Region,4450,Juprelle
Walloon Region,4540,Amay
Walloon Region,4620,Fléron
Walloon Region,4624,Fléron
Walloon Region,4684,Oupeye
Walloon Region,4830,Limbourg
Walloon Region,4870,Trooz
Walloon Region,5350,Ohey
Walloon Region,6851,Paliseul
Walloon Region,6856,Paliseul
Walloon Region,6929,Daverdisse
Walloon Region,6951,Nassogne
Walloon Region,7711,Mouscron
Walloon Region,7782,Comines-Warneton
Flemish Region,8000,Bruges
Flemish Region,8530,Harelbeke
Flemish Region,8957,Messines
Flemish Region,9930,Lievegem
Brussels-Capital Region,1083,Ganshoren
Walloon Region,1480,Tubize
Flemish Region,2040,Anvers
Flemish Region,2230,Herselt
Flemish Region,2275,Lille
Flemish Region,2370,Arendonk
Flemish Region,2480,Dessel
Flemish Region,2520,Ranst
Walloon Region,6984,La Roche-en-Ardenne
Walloon Region,7781,Comines-Warneton
Walloon Region,7880,Flobecq
Flemish Region,8930,Menin
Flemish Region,3473,Kortenaken
Flemish Region,9051,Gand
Flemish Region,9090,Merelbeke-Melle
Flemish Region,9620,Zottegem
Flemish Region,9870,Zulte
Walloon Region,6010,Charleroi
Flemish Region,8377,Zuienkerke
