municipality,cords
Neufchâteau,"49.851034613, 5.433387313"
Herve,"50.648702164, 5.796260538"
La Calamine,"50.717495937, 6.023433088"
Estinnes,"50.378750264, 4.100617688"
Heuvelland,"50.775502208, 2.830312206"
Zelzate,"51.199149937, 3.808613623"
Herzele,"50.870434469, 3.892462656"
Mons,"50.452418964, 3.971936191"
Mons,"50.452418964, 3.971936191"
Hensies,"50.435803886, 3.713694445"
Tournai,"50.616213564, 3.407978295"
Gistel,"51.151142564, 2.943196979"
Molenbeek-Saint-Jean,"50.855230823, 4.318459334"
Ottignies-Louvain-la-Neuve,"50.67035588, 4.564163113"
Zaventem,"50.871257881, 4.486517478"
Anvers,"51.260784962, 4.369487632"
Anvers,"51.260784962, 4.369487632"
Hoogstraten,"51.440453884, 4.763706694"
Balen,"51.158605534, 5.182967361"
Edegem,"51.156241699, 4.432841157"
Kalmthout,"51.398860669, 4.468686727"
Overijse,"50.771298043, 4.5328975"
Rotselaar,"50.959561217, 4.732261774"
Oudsbergen,"51.074932107, 5.556321231"
Fourons,"50.745325166, 5.822668977"
Aalter,"51.095258488, 3.447239499"
Marche-en-Famenne,"50.209289234, 5.343638083"
Middelkerke,"51.15342505, 2.838569563"
Ingelmunster,"50.921458133, 3.260681271"
Ardooie,"50.981620423, 3.203102087"
Izegem,"50.921090123, 3.205493901"
Kampenhout,"50.941289495, 4.560657494"
Anvers,"51.260784962, 4.369487632"
Essen,"51.449503076, 4.465890522"
Kortenberg,"50.889934982, 4.568809557"
Lubbeek,"50.882001719, 4.828920963"
Tirlemont,"50.811957748, 4.941883065"
Bassenge,"50.76557415, 5.610041761"
Amblève,"50.345566774, 6.181425506"
Jalhay,"50.530822983, 5.96647663"
Etalle,"49.663918094, 5.608965443"
Binche,"50.408694938, 4.177188061"
Comines-Warneton,"50.751586024, 2.93036756"
Middelkerke,"51.15342505, 2.838569563"
Ichtegem,"51.112666654, 3.030818622"
Aartselaar,"51.131834068, 4.382521272"
Bertem,"50.853832599, 4.609714336"
Holsbeek,"50.929694418, 4.801842678"
Hoegaarden,"50.779132838, 4.876531798"
Glabbeek,"50.867015368, 4.949438367"
Landen,"50.754691031, 5.061639946"
Geetbets,"50.891481924, 5.131137853"
Genk,"50.967174639, 5.494917672"
Liège,"50.631779266, 5.590470487"
Chaudfontaine,"50.581446589, 5.633738454"
Neupré,"50.544064996, 5.488057954"
Hannut,"50.666022042, 5.073103357"
Grâce-Hollogne,"50.637746032, 5.439468375"
Verviers,"50.584980879, 5.866794038"
Thimister-Clermont,"50.662929019, 5.869807691"
Gembloux,"50.554301604, 4.709109884"
Sambreville,"50.446568784, 4.620726993"
Havelange,"50.361179955, 5.248163419"
Berchem-Sainte-Agathe,"50.864660736, 4.293926306"
Beauvechain,"50.776149437, 4.764658556"
Waterloo,"50.709764592, 4.403520838"
Hoeilaart,"50.76102053, 4.450821012"
Linkebeek,"50.767952902, 4.345420862"
Charleroi,"50.421053699, 4.434599075"
Roosdaal,"50.837514354, 4.097388715"
Wemmel,"50.90958388, 4.309324271"
Zemst,"50.97890854, 4.458091114"
Duffel,"51.095715836, 4.514139347"
Putte,"51.050684436, 4.636366279"
Begijnendijk,"51.007016786, 4.784627003"
Messancy,"49.614764454, 5.811267142"
As,"51.008643718, 5.58475322"
Durbuy,"50.360726192, 5.4882763"
Mons,"50.452418964, 3.971936191"
Mons,"50.452418964, 3.971936191"
Chapelle-lez-Herlaimont,"50.462486406, 4.287558198"
Ecaussinnes,"50.562712917, 4.179441208"
Tournai,"50.616213564, 3.407978295"
Mouscron,"50.736408581, 3.251073123"
Ath,"50.639365214, 3.772895473"
Jabbeke,"51.188628583, 3.096355689"
